,v0,v1,v2,v3
,-930851,-648160,-779505,-840741
,-923174,-647467,-778262,-836806
,-980205,-652238,-782329,-837380
,-974074,-591610,-783046,-835785
,-970989,-601356,-790741,-839735
,-968662,-646088,-796428,-843812
,-967470,-662585,-841224,-787713
,-929597,-715794,-790749,-800753
,-925171,-671253,-836919,-845573
,-921850,-728528,-852793,-860137
,-920327,-721136,-902701,-908841
,-917757,-782854,-856127,-861232
,-915463,-843824,-907504,-911609
,-915462,-841931,-927734,-930358
,-919805,-905425,-980222,-982239
,-921593,-904995,-970755,-971072
,-924914,-967706,-985363,-985900
,-931892,-967372,-1.03987e+06,-1.03864e+06
,-933153,-998171,-991967,-990502
,-971012,-994876,-1.04137e+06,-1.03856e+06
,-971733,-1.05732e+06,-1.06065e+06,-1.05527e+06
,-968466,-1.05292e+06,-1.11048e+06,-1.10316e+06
,-931012,-1.10953e+06,-1.05908e+06,-1.04881e+06
,-929794,-1.16424e+06,-1.10112e+06,-1.05678e+06
,-928240,-1.11902e+06,-1.11159e+06,-1.06465e+06
,-928039,-1.16989e+06,-1.11976e+06,-1.10229e+06
,-925439,-1.18576e+06,-1.12717e+06,-1.10669e+06
,-968226,-1.19045e+06,-1.12388e+06,-1.10078e+06
,-976623,-1.24288e+06,-1.17018e+06,-1.10931e+06
